id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
107,Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Other,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,18-30,2,Overturning,Slight Injury,15
108,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,NaN,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,Driving at high speed,Serious Injury,23
109,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Other,One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,31-50,2,No priority to vehicle,Serious Injury,23
110,Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to pedestrian,Serious Injury,23
111,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to vehicle,Serious Injury,23
112,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,Other,Slight Injury,20
113,Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,Other,Slight Injury,20
114,Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Moving Backward,Slight Injury,20
115,Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Other,NaN,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,1,Unknown,na,na,No distancing,Slight Injury,17
116,Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Church areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,3,Moving Backward,Slight Injury,17
117,Monday,31-50,Unknown,NaN,Unknown,5-10yr,Other,Owner,Industrial areas,NaN,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Under 18,3,No priority to vehicle,Slight Injury,18
118,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Recreational areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,18-30,3,Driving carelessly,Slight Injury,17
119,Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,No distancing,Slight Injury,1
120,Saturday,18-30,Unknown,Elementary school,Employee,Below 1yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Other,Slight Injury,1
121,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,18-30,3,Changing lane to the right,Slight Injury,1
122,Saturday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Industrial areas,Two-way (divided with broken lines road marking),NaN,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,No distancing,Slight Injury,1
123,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,18-30,3,Driving carelessly,Slight Injury,18
124,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,Office areas,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,18
125,Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,NaN,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Over 51,3,No priority to vehicle,Slight Injury,15
126,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury,15
127,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,18-30,2,No priority to pedestrian,Slight Injury,15
128,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,18-30,3,No priority to vehicle,Serious Injury,12
129,Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Changing lane to the left,Slight Injury,8
130,Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Turnover,Slight Injury,8
131,Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Under 18,3,Driving to the left,Slight Injury,17
132,Sunday,18-30,Male,Elementary school,Employee,NaN,Ridden horse,NaN,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,Driving carelessly,Slight Injury,0
133,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,18-30,3,Driving to the left,Slight Injury,0
134,Sunday,18-30,Male,NaN,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Under 18,3,Driving carelessly,Slight Injury,0
135,Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Stationwagen,Owner,Church areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,No priority to pedestrian,Slight Injury,15
136,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,3,Driving carelessly,Slight Injury,18
137,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,NaN,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,18
138,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Over 51,3,Moving Backward,Serious Injury,5
139,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Over 51,3,Driving carelessly,Slight Injury,12
140,Friday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Other,other,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,Changing lane to the right,Slight Injury,22
141,Friday,31-50,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Driving carelessly,Serious Injury,6
142,Friday,31-50,Male,Junior high school,Employee,NaN,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Driving carelessly,Serious Injury,6
143,Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,31-50,3,Driving carelessly,Serious Injury,17
144,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Parked,na,na,Changing lane to the right,Serious Injury,17
145,Friday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,4,Going straight,na,na,Changing lane to the right,Slight Injury,4
146,Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Church areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,31-50,3,Driving carelessly,Slight Injury,4
147,Friday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Unknown,18-30,3,Overtaking,Slight Injury,4
148,Friday,18-30,Unknown,NaN,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,Over 51,3,Changing lane to the right,Slight Injury,4
149,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Under 18,1,No distancing,Slight Injury,15
150,Friday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,18-30,3,Other,Slight Injury,8
151,Sunday,18-30,Male,Illiterate,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the right,Slight Injury,0
152,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,NaN,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,18-30,3,Changing lane to the right,Slight Injury,0
153,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Bajaj,Owner,Other,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Over 51,3,Overtaking,Slight Injury,0
154,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,NaN,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Reversing,na,na,Other,Slight Injury,0
155,Sunday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Governmental,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving to the left,Slight Injury,0
156,Saturday,Unknown,Female,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Over 51,3,Overtaking,Slight Injury,15
157,Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Unknown,Over 51,3,No priority to vehicle,Slight Injury,15
158,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,Moving Backward,Slight Injury,15
159,Saturday,Under 18,Male,NaN,Unknown,NaN,NaN,NaN,Office areas,NaN,Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,With Train,2,1,Moving Backward,Over 51,3,Other,Slight Injury,16
160,Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,16
161,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,18-30,3,No priority to pedestrian,Slight Injury,1
162,Friday,31-50,Male,Junior high school,Owner,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,18-30,3,Changing lane to the right,Slight Injury,1
163,Monday,Over 51,Male,Junior high school,Employee,unknown,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,31-50,2,Changing lane to the right,Slight Injury,19
164,Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,Changing lane to the right,Slight Injury,19
165,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization,Church areas,NaN,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Under 18,3,Driving to the left,Slight Injury,19
